column,missing_count,missing_ratio,non_missing_count,non_missing_ratio
age_approx,2798,0.006977,398261,0.993023
anatom_site_general,5756,0.014352,395303,0.985648
attribution,0,0.000000,401059,1.000000
clin_size_long_diam_mm,0,0.000000,401059,1.000000
copyright_license,0,0.000000,401059,1.000000
iddx_1,0,0.000000,401059,1.000000
iddx_2,399991,0.997337,1068,0.002663
iddx_3,399994,0.997345,1065,0.002655
iddx_4,400508,0.998626,551,0.001374
iddx_5,401058,0.999998,1,0.000002
iddx_full,0,0.000000,401059,1.000000
image_exists,0,0.000000,401059,1.000000
image_path,0,0.000000,401059,1.000000
image_type,0,0.000000,401059,1.000000
isic_id,0,0.000000,401059,1.000000
lesion_id,379001,0.945001,22058,0.054999
mel_mitotic_index,401006,0.999868,53,0.000132
mel_thick_mm,400996,0.999843,63,0.000157
patient_id,0,0.000000,401059,1.000000
sex,11517,0.028716,389542,0.971284
split_group_id,0,0.000000,401059,1.000000
target,0,0.000000,401059,1.000000
tbp_lv_A,0,0.000000,401059,1.000000
tbp_lv_Aext,0,0.000000,401059,1.000000
tbp_lv_B,0,0.000000,401059,1.000000
tbp_lv_Bext,0,0.000000,401059,1.000000
tbp_lv_C,0,0.000000,401059,1.000000
tbp_lv_Cext,0,0.000000,401059,1.000000
tbp_lv_H,0,0.000000,401059,1.000000
tbp_lv_Hext,0,0.000000,401059,1.000000
tbp_lv_L,0,0.000000,401059,1.000000
tbp_lv_Lext,0,0.000000,401059,1.000000
tbp_lv_areaMM2,0,0.000000,401059,1.000000
tbp_lv_area_perim_ratio,0,0.000000,401059,1.000000
tbp_lv_color_std_mean,0,0.000000,401059,1.000000
tbp_lv_deltaA,0,0.000000,401059,1.000000
tbp_lv_deltaB,0,0.000000,401059,1.000000
tbp_lv_deltaL,0,0.000000,401059,1.000000
tbp_lv_deltaLB,0,0.000000,401059,1.000000
tbp_lv_deltaLBnorm,0,0.000000,401059,1.000000
tbp_lv_dnn_lesion_confidence,0,0.000000,401059,1.000000
tbp_lv_eccentricity,0,0.000000,401059,1.000000
tbp_lv_location,0,0.000000,401059,1.000000
tbp_lv_location_simple,0,0.000000,401059,1.000000
tbp_lv_minorAxisMM,0,0.000000,401059,1.000000
tbp_lv_nevi_confidence,0,0.000000,401059,1.000000
tbp_lv_norm_border,0,0.000000,401059,1.000000
tbp_lv_norm_color,0,0.000000,401059,1.000000
tbp_lv_perimeterMM,0,0.000000,401059,1.000000
tbp_lv_radial_color_std_max,0,0.000000,401059,1.000000
tbp_lv_stdL,0,0.000000,401059,1.000000
tbp_lv_stdLExt,0,0.000000,401059,1.000000
tbp_lv_symm_2axis,0,0.000000,401059,1.000000
tbp_lv_symm_2axis_angle,0,0.000000,401059,1.000000
tbp_lv_x,0,0.000000,401059,1.000000
tbp_lv_y,0,0.000000,401059,1.000000
tbp_lv_z,0,0.000000,401059,1.000000
tbp_tile_type,0,0.000000,401059,1.000000
