column,group,count,mean,median,min,max
age_approx,all,398261,58.012986,60.000000,5.000000,85.000000
age_approx,target_0,397871,58.009694,60.000000,5.000000,85.000000
age_approx,target_1,390,61.371795,60.000000,20.000000,85.000000
clin_size_long_diam_mm,all,401059,3.930827,3.370000,1.000000,28.400000
clin_size_long_diam_mm,target_0,400666,3.929043,3.370000,1.000000,28.400000
clin_size_long_diam_mm,target_1,393,5.749771,5.140000,1.010000,18.940000
mel_thick_mm,all,63,0.670952,0.400000,0.200000,5.000000
mel_thick_mm,target_0,0,,,,
mel_thick_mm,target_1,63,0.670952,0.400000,0.200000,5.000000
tbp_lv_A,all,401059,19.974007,19.801910,-2.487115,48.189610
tbp_lv_A,target_0,400666,19.971528,19.800474,-2.487115,48.189610
tbp_lv_A,target_1,393,22.500924,21.990980,4.971736,43.717670
tbp_lv_Aext,all,401059,14.919247,14.713930,-9.080269,37.021680
tbp_lv_Aext,target_0,400666,14.916682,14.712272,-9.080269,37.021680
tbp_lv_Aext,target_1,393,17.534401,16.877089,4.826737,35.867190
tbp_lv_B,all,401059,28.281706,28.171570,-0.730989,54.306900
tbp_lv_B,target_0,400666,28.286065,28.174977,-0.730989,54.306900
tbp_lv_B,target_1,393,23.837896,24.043740,2.870907,44.625461
tbp_lv_Bext,all,401059,26.913015,26.701704,9.237066,48.372700
tbp_lv_Bext,target_0,400666,26.914940,26.703165,9.237066,48.372700
tbp_lv_Bext,target_1,393,24.950406,25.077617,12.637140,42.718264
tbp_lv_C,all,401059,34.786341,34.822580,3.054228,58.765170
tbp_lv_C,target_0,400666,34.788027,34.823648,3.054228,58.765170
tbp_lv_C,target_1,393,33.067349,33.446362,7.715667,53.569388
tbp_lv_Cext,all,401059,30.921279,30.804893,11.846520,54.305290
tbp_lv_Cext,target_0,400666,30.921401,30.804718,11.846520,54.305290
tbp_lv_Cext,target_1,393,30.796881,31.005119,17.381603,47.263349
tbp_lv_H,all,401059,54.653689,55.035632,-1.574164,105.875784
tbp_lv_H,target_0,400666,54.661450,55.040083,-1.574164,105.875784
tbp_lv_H,target_1,393,46.741528,47.277889,7.174666,65.258690
tbp_lv_Hext,all,401059,60.996869,61.109173,28.436490,130.983300
tbp_lv_Hext,target_0,400666,61.002632,61.112700,28.436490,130.983300
tbp_lv_Hext,target_1,393,55.121791,55.385449,32.649963,75.477687
tbp_lv_L,all,401059,42.289976,42.343770,4.223007,87.548888
tbp_lv_L,target_0,400666,42.291356,42.343629,4.223007,87.548888
tbp_lv_L,target_1,393,40.883934,42.548845,6.157081,63.706020
tbp_lv_Lext,all,401059,51.199529,51.425557,17.702260,98.588250
tbp_lv_Lext,target_0,400666,51.199687,51.424885,17.702260,98.588250
tbp_lv_Lext,target_1,393,51.038260,52.349597,20.553112,74.013230
tbp_lv_areaMM2,all,401059,8.539975,5.685870,0.431601,334.152700
tbp_lv_areaMM2,target_0,400666,8.526291,5.685870,0.431601,334.152700
tbp_lv_areaMM2,target_1,393,22.490554,12.854190,0.656784,141.114656
tbp_lv_area_perim_ratio,all,401059,19.084517,17.423950,10.761634,87.205340
tbp_lv_area_perim_ratio,target_0,400666,19.082902,17.423380,10.761634,87.205340
tbp_lv_area_perim_ratio,target_1,393,20.730862,18.325280,11.134446,49.869050
tbp_lv_color_std_mean,all,401059,1.070408,0.931402,0.000000,9.952932
tbp_lv_color_std_mean,target_0,400666,1.069828,0.931117,0.000000,9.952932
tbp_lv_color_std_mean,target_1,393,1.661645,1.489238,0.000000,8.009495
tbp_lv_deltaA,all,401059,5.054760,4.643926,-13.819850,32.137590
tbp_lv_deltaA,target_0,400666,5.054846,4.643749,-13.819850,32.137590
tbp_lv_deltaA,target_1,393,4.966523,5.038595,-8.280943,16.316230
tbp_lv_deltaB,all,401059,1.368691,1.593945,-18.088106,12.643930
tbp_lv_deltaB,target_0,400666,1.371125,1.595730,-18.088106,12.643930
tbp_lv_deltaB,target_1,393,-1.112510,-0.649948,-15.339217,6.903996
tbp_lv_deltaL,all,401059,-8.909552,-8.132223,-38.756140,-1.590631
tbp_lv_deltaL,target_0,400666,-8.908332,-8.131439,-38.756140,-1.590631
tbp_lv_deltaL,target_1,393,-10.154326,-9.229332,-34.690470,-2.587007
tbp_lv_deltaLB,all,401059,9.455766,8.699932,2.952675,39.197720
tbp_lv_deltaLB,target_0,400666,9.454437,8.699245,2.952675,39.197720
tbp_lv_deltaLB,target_1,393,10.810271,9.763281,2.962654,37.716100
tbp_lv_deltaLBnorm,all,401059,7.538922,6.946320,3.001138,30.487456
